Date,Temperature(C),Humidity(%),Rainfall(mm),Wind Speed(km/h),Pressure(hPa)
2024-03-05,-0.1,51.9,182.9,19.4,995.6
2024-03-06,22.1,45.0,2.6,18.3,1009.0
2024-03-07,8.2,77.6,9.2,15.0,1011.7
2024-03-08,32.0,98.0,191.7,13.3,1026.7
2024-03-09,8.5,11.0,100.0,7.8,1043.2
2024-03-10,28.9,16.8,154.9,18.9,980.6
2024-03-11,22.8,22.2,44.1,11.2,1030.9
2024-03-12,25.4,57.9,141.0,3.3,1014.0
2024-03-13,21.2,34.8,7.7,10.9,982.2
2024-03-14,35.9,81.9,116.9,14.9,1002.0
2024-03-15,38.2,59.6,13.2,16.7,1004.4
2024-03-16,7.5,81.1,163.0,1.6,986.6
2024-03-17,-7.7,23.7,153.7,8.5,1004.9
2024-03-18,5.9,65.8,56.4,3.7,1047.9
2024-03-19,-9.7,52.2,198.3,16.3,994.2
2024-03-20,13.7,36.9,33.2,18.2,1048.4
2024-03-21,16.1,32.1,194.9,19.1,994.7
2024-03-22,-8.1,34.6,109.1,1.8,988.9
2024-03-23,23.8,58.7,166.1,4.0,994.4
2024-03-24,10.3,96.3,39.6,7.6,983.7
2024-03-25,28.0,31.3,1.7,18.2,1047.4
2024-03-26,-9.8,74.8,115.7,13.5,1015.8
2024-03-27,-9.1,96.8,20.6,13.0,1033.1
2024-03-28,33.8,52.0,40.8,14.2,1049.5
2024-03-29,7.2,39.1,107.8,14.7,1032.6
2024-03-30,24.5,86.6,177.9,10.7,992.2
2024-03-31,20.5,89.0,79.1,19.1,1034.3
2024-04-01,31.9,69.0,188.5,8.8,1046.6
2024-04-02,12.9,96.3,111.0,6.7,1015.0
2024-04-03,21.6,19.4,141.5,1.9,1025.5
2024-04-04,8.6,69.0,190.5,11.4,1013.4
2024-04-05,33.7,98.0,84.5,3.1,992.3
2024-04-06,43.6,26.6,132.9,18.0,1013.1
2024-04-07,-5.3,20.6,184.8,2.3,1004.4
2024-04-08,33.6,28.3,188.5,15.3,992.0
2024-04-09,21.3,16.1,89.3,4.3,1001.7
2024-04-10,30.5,53.8,156.4,11.4,1033.1
2024-04-11,-9.8,60.4,112.4,9.5,992.6
2024-04-12,-9.4,56.7,0.2,14.0,1040.9
2024-04-13,34.0,11.3,39.7,2.0,1001.5
2024-04-14,-5.9,30.6,154.3,2.2,997.1
2024-04-15,-6.9,25.5,64.4,9.7,988.6
2024-04-16,21.5,94.4,179.6,10.1,1013.4
2024-04-17,-9.8,68.1,47.0,7.1,1037.4
2024-04-18,-6.0,68.2,74.8,6.9,993.7
2024-04-19,22.9,69.6,180.7,14.9,1023.8
2024-04-20,28.7,63.2,38.1,8.7,1011.8
2024-04-21,14.2,43.6,140.5,11.0,999.1
2024-04-22,23.3,48.4,58.8,2.9,1018.4
2024-04-23,12.8,63.4,103.0,4.7,1047.0
2024-04-24,25.2,80.0,153.9,6.3,1031.7
2024-04-25,23.8,96.5,89.5,12.5,1024.3
2024-04-26,1.0,61.2,27.9,13.5,1030.9
2024-04-27,29.2,57.7,148.8,13.9,1022.7
2024-04-28,0.9,54.6,156.2,8.3,1031.6
2024-04-29,12.4,85.0,89.1,3.4,1009.9
2024-04-30,2.3,75.7,109.7,18.1,1046.7
2024-05-01,26.4,55.4,55.0,14.0,1036.5
2024-05-02,41.2,72.3,101.5,5.6,1030.1
2024-05-03,-0.5,72.9,51.1,19.5,1020.1
2024-05-04,35.6,33.2,164.7,14.5,1031.4
2024-05-05,40.4,35.4,25.0,6.2,1018.5
2024-05-06,33.9,32.7,22.5,18.7,1014.8
2024-05-07,11.1,12.7,64.5,0.6,987.6
2024-05-08,35.4,73.0,26.2,7.8,1010.5
2024-05-09,41.2,55.6,182.3,17.8,991.3
2024-05-10,17.0,43.1,54.5,10.2,1002.2
2024-05-11,36.3,43.2,24.6,8.2,1001.6
2024-05-12,15.6,81.7,51.8,15.0,1049.6
2024-05-13,-4.8,50.6,19.7,15.9,1028.6
2024-05-14,10.7,63.0,198.5,7.0,1049.4
2024-05-15,9.4,33.0,34.0,16.7,1015.9
2024-05-16,33.8,66.3,37.5,12.9,982.0
2024-05-17,11.3,94.6,90.8,3.1,1001.1
2024-05-18,-5.0,81.1,57.8,14.3,1026.7
2024-05-19,-2.5,78.8,118.5,5.4,1044.2
2024-05-20,32.1,70.4,63.1,12.6,1032.3
2024-05-21,7.3,83.7,10.2,14.4,994.6
2024-05-22,18.2,42.7,15.0,1.3,1038.0
2024-05-23,33.6,78.0,162.9,16.3,993.2
2024-05-24,3.7,91.6,2.2,3.2,1041.9
2024-05-25,35.4,60.7,123.7,13.1,1044.1
2024-05-26,32.7,17.8,98.8,9.1,1036.4
2024-05-27,10.3,82.6,34.9,0.4,1011.9
2024-05-28,31.5,21.9,110.8,12.3,994.3
2024-05-29,12.2,56.5,158.4,11.4,999.4
2024-05-30,12.9,89.4,56.1,15.1,1003.7
2024-05-31,44.1,84.1,105.7,11.4,1002.4
2024-06-01,43.3,65.9,67.3,0.9,1011.9
2024-06-02,-8.2,78.9,114.1,12.2,1031.7
2024-06-03,-0.5,56.6,142.2,17.8,995.1
2024-06-04,33.2,61.0,122.6,11.6,1018.2
2024-06-05,42.0,48.1,131.1,2.9,1036.1
2024-06-06,1.5,16.2,168.1,8.8,1041.4
2024-06-07,14.8,78.5,182.4,18.2,1001.3
2024-06-08,36.3,84.8,186.4,2.3,984.1
2024-06-09,38.4,37.7,2.4,9.6,982.1
2024-06-10,26.6,49.2,183.6,17.5,1012.1
2024-06-11,22.8,32.3,73.6,17.9,1023.4
2024-06-12,33.6,43.3,116.7,8.6,1016.5
2024-06-13,12.2,46.5,125.4,7.6,1009.5
2024-06-14,35.5,54.8,137.4,7.6,993.4
2024-06-15,40.5,38.9,110.7,3.8,1042.3
2024-06-16,4.9,97.7,126.5,14.3,1041.5
2024-06-17,20.0,38.8,179.5,7.8,1044.5
2024-06-18,35.3,86.4,146.4,4.5,1034.5
2024-06-19,40.7,14.5,159.6,9.0,986.5
2024-06-20,10.7,16.2,133.1,4.9,1022.1
2024-06-21,43.1,83.1,72.5,8.6,1025.6
2024-06-22,6.9,50.6,167.7,5.9,996.8
2024-06-23,16.1,76.6,170.2,6.7,1016.5
2024-06-24,9.2,49.1,194.7,8.1,1038.5
2024-06-25,0.9,42.2,80.4,3.7,982.6
2024-06-26,33.5,91.2,63.4,0.6,992.1
2024-06-27,10.1,50.7,103.8,15.2,1010.3
2024-06-28,8.3,40.5,105.3,14.1,1027.3
2024-06-29,37.0,76.2,105.4,6.6,1037.4
2024-06-30,-1.6,44.1,125.4,3.0,1006.5
2024-07-01,32.0,97.2,130.8,13.2,984.8
2024-07-02,31.9,24.4,196.6,5.0,983.7
2024-07-03,29.0,25.5,72.2,4.9,1030.3
2024-07-04,5.2,15.9,104.4,19.9,1033.4
2024-07-05,24.2,68.0,49.1,6.7,1013.6
2024-07-06,40.9,24.8,56.5,3.8,995.4
2024-07-07,40.6,71.3,77.1,10.6,996.7
2024-07-08,44.0,75.5,114.1,10.8,999.8
2024-07-09,20.9,71.8,69.3,0.4,1042.0
2024-07-10,1.6,25.5,38.5,0.3,990.8
2024-07-11,33.3,78.9,27.8,17.1,987.8
2024-07-12,37.4,30.3,179.3,14.6,1047.4
2024-07-13,2.2,31.4,145.6,16.8,1011.7
2024-07-14,-1.4,29.2,85.0,8.2,987.9
2024-07-15,33.3,58.1,194.3,12.6,1041.0
2024-07-16,-7.0,28.7,107.1,13.9,1038.5
2024-07-17,19.2,64.2,79.7,13.7,1029.1
2024-07-18,-5.5,37.7,184.0,2.9,982.5
2024-07-19,-1.9,76.8,1.5,15.9,1011.1
2024-07-20,9.8,63.9,196.5,19.4,983.5
2024-07-21,15.2,28.7,178.0,8.1,982.9
2024-07-22,22.7,59.9,186.0,1.6,1049.4
2024-07-23,0.1,19.7,110.9,19.8,1023.5
2024-07-24,34.5,15.6,69.1,17.6,1034.3
2024-07-25,2.3,33.5,152.2,2.9,1022.8
2024-07-26,42.9,40.3,140.6,1.1,1009.6
2024-07-27,15.6,73.7,89.6,1.7,1020.8
2024-07-28,36.0,81.6,55.4,16.5,1013.6
2024-07-29,42.2,79.7,139.6,3.3,1006.6
2024-07-30,-0.7,12.9,179.2,13.5,1025.7
2024-07-31,-5.4,97.6,96.5,19.5,1009.4
2024-08-01,30.1,57.3,121.5,12.9,1036.0
2024-08-02,12.1,97.0,113.8,7.5,1033.3
2024-08-03,40.4,76.1,30.0,14.8,1040.3
2024-08-04,12.6,85.1,28.8,15.4,1028.5
2024-08-05,23.2,66.8,94.9,11.3,1017.4
2024-08-06,30.0,85.1,62.0,15.0,1025.5
2024-08-07,1.4,50.9,101.9,11.4,983.6
2024-08-08,-7.1,79.2,25.0,2.1,1031.5
2024-08-09,13.7,35.4,164.7,13.4,1032.0
2024-08-10,9.4,27.7,133.4,19.1,1049.1
2024-08-11,1.3,37.0,80.7,18.6,1030.4
2024-08-12,32.7,63.6,175.4,19.2,1041.4
2024-08-13,-3.0,97.1,41.1,1.7,987.7
2024-08-14,17.3,23.6,147.4,8.0,1019.2
2024-08-15,12.7,17.9,136.5,10.0,993.9
2024-08-16,-1.3,90.8,73.4,6.9,1028.0
2024-08-17,-3.1,64.6,149.8,10.4,1016.3
2024-08-18,-9.6,56.0,50.9,14.7,1010.9
2024-08-19,23.8,67.4,139.0,8.6,1025.7
2024-08-20,37.3,63.1,165.5,5.5,1022.7
2024-08-21,19.9,20.6,21.9,3.7,1034.7
2024-08-22,31.0,45.4,4.1,3.8,1005.7
2024-08-23,23.0,83.5,37.6,0.2,1004.7
2024-08-24,6.4,36.6,138.6,14.2,982.3
2024-08-25,32.4,51.1,33.3,1.1,1016.8
2024-08-26,38.9,74.8,199.7,0.9,1028.4
2024-08-27,36.3,25.1,10.6,3.0,992.2
2024-08-28,1.1,21.2,148.6,11.7,984.9
2024-08-29,7.6,94.7,143.2,4.7,995.6
2024-08-30,39.5,91.8,48.0,2.4,1047.4
2024-08-31,37.9,21.4,129.0,1.6,987.7
2024-09-01,41.2,20.3,39.4,16.5,1027.6
2024-09-02,-4.2,79.1,176.3,10.0,1034.2
2024-09-03,22.2,14.6,143.1,9.1,1007.7
2024-09-04,8.4,38.3,155.3,17.7,991.1
2024-09-05,14.3,31.1,77.7,0.6,1001.5
2024-09-06,11.1,50.3,172.6,7.6,999.1
2024-09-07,44.0,45.1,85.3,12.7,1015.7
2024-09-08,38.1,44.1,83.5,1.0,1014.6
2024-09-09,-1.8,26.2,130.4,19.8,1038.6
2024-09-10,18.6,60.0,90.6,14.8,980.6
2024-09-11,7.9,47.9,178.6,19.5,992.6
2024-09-12,31.1,76.2,52.1,4.9,1033.4
2024-09-13,11.6,73.5,22.5,3.9,1024.8
2024-09-14,11.6,94.7,146.6,8.0,1025.6
2024-09-15,3.6,69.7,144.8,19.2,1046.4
2024-09-16,1.8,44.2,10.7,2.7,1010.2
2024-09-17,22.3,51.3,199.3,9.6,1016.9
2024-09-18,29.4,52.3,12.0,4.6,990.4
2024-09-19,33.0,46.1,166.5,17.8,986.7
2024-09-20,17.3,64.4,151.2,12.6,995.4
2024-09-21,-8.4,46.6,73.7,11.0,1025.1
2024-09-22,-5.3,10.1,10.8,17.6,1010.8
2024-09-23,30.5,57.8,6.4,5.7,983.1
2024-09-24,21.5,53.1,102.3,14.4,1022.8
2024-09-25,17.8,70.6,142.3,12.3,1040.5
2024-09-26,-7.1,29.6,190.2,1.4,1001.5
2024-09-27,-4.8,63.8,14.8,4.4,1021.7
2024-09-28,37.4,39.3,86.8,4.7,1019.1
2024-09-29,20.1,18.8,25.2,2.2,1037.9
2024-09-30,1.3,77.3,52.6,19.1,1033.4
2024-10-01,28.9,51.4,121.0,13.7,1013.0
2024-10-02,6.0,67.7,25.2,9.6,1002.6
2024-10-03,37.3,94.9,65.8,8.3,1048.7
2024-10-04,-8.5,36.5,21.6,17.1,1020.5
2024-10-05,34.9,29.2,129.7,1.1,993.3
2024-10-06,-8.5,64.0,110.4,14.8,1042.2
2024-10-07,44.0,20.9,183.8,6.8,1024.2
2024-10-08,15.5,75.7,143.9,1.5,1011.6
2024-10-09,24.7,47.4,141.6,6.1,1042.5
2024-10-10,13.5,93.1,166.5,6.7,1017.3
2024-10-11,29.4,22.4,67.0,18.5,1023.0
2024-10-12,31.4,98.0,190.1,3.6,1016.0
2024-10-13,42.6,14.9,32.2,19.3,1029.9
2024-10-14,10.3,16.4,13.0,14.7,1014.6
2024-10-15,-0.4,44.3,197.9,16.1,997.1
2024-10-16,30.3,38.2,92.3,14.1,982.3
2024-10-17,2.3,63.0,29.8,16.6,981.2
2024-10-18,-9.2,96.4,2.1,5.9,1014.8
2024-10-19,-6.2,61.0,118.7,1.4,1014.1
2024-10-20,14.0,76.1,19.7,9.9,1036.6
2024-10-21,16.3,94.5,157.0,17.3,1026.2
2024-10-22,-9.1,34.7,50.4,16.2,1016.8
2024-10-23,26.3,60.8,79.0,17.8,1032.9
2024-10-24,43.3,97.0,56.6,16.3,1012.4
2024-10-25,13.1,56.3,94.9,10.9,1000.2
2024-10-26,10.9,60.8,63.8,13.9,992.8
2024-10-27,38.1,61.1,166.4,3.7,1037.4
2024-10-28,20.7,25.9,15.2,12.0,1022.7
2024-10-29,-8.3,55.7,129.5,7.8,991.2
2024-10-30,2.0,10.6,44.1,0.0,1008.9
2024-10-31,4.6,54.9,79.2,16.8,981.7
2024-11-01,-4.5,26.6,124.6,8.5,1020.4
2024-11-02,40.1,41.0,54.6,15.9,1006.6
2024-11-03,40.5,18.2,125.4,7.2,1029.1
2024-11-04,42.9,91.8,194.5,9.0,1048.6
2024-11-05,-1.1,53.9,119.2,5.4,1007.9
2024-11-06,36.8,15.5,129.2,1.7,1028.2
2024-11-07,2.1,33.6,131.5,5.7,1033.3
2024-11-08,11.3,67.2,104.7,12.8,1001.5
2024-11-09,7.6,15.0,10.2,7.9,1033.6
2024-11-10,3.2,73.9,132.2,11.0,1033.3
2024-11-11,-9.4,16.9,147.0,14.6,1034.0
2024-11-12,11.3,89.9,52.4,15.3,1038.6
2024-11-13,21.6,98.2,22.4,0.5,1039.4
2024-11-14,26.8,37.2,176.7,7.9,1037.1
2024-11-15,34.9,94.9,45.7,8.3,1044.9
2024-11-16,-7.3,96.0,98.2,2.5,1047.6
2024-11-17,3.0,59.4,142.9,5.9,986.8
2024-11-18,4.1,13.6,155.5,12.0,985.0
2024-11-19,26.3,63.2,121.0,14.6,1042.2
2024-11-20,17.2,80.0,134.3,3.0,990.9
2024-11-21,-1.8,36.8,130.1,17.8,1038.2
2024-11-22,12.8,16.1,122.7,18.3,1001.8
2024-11-23,0.4,88.0,70.8,1.6,1023.4
2024-11-24,28.9,95.0,6.0,2.9,1043.6
2024-11-25,35.4,68.3,155.8,6.6,1035.9
2024-11-26,30.6,86.3,18.0,12.6,1008.9
2024-11-27,0.1,91.1,13.8,8.0,1026.5
2024-11-28,9.0,49.2,130.6,17.0,1030.8
2024-11-29,9.9,77.0,150.9,17.4,1008.7
2024-11-30,10.8,65.0,67.6,11.2,1008.7
2024-12-01,33.1,12.8,69.6,0.3,1038.7
2024-12-02,-1.3,41.3,18.6,3.3,1029.5
2024-12-03,7.7,25.1,72.9,11.7,1027.3
2024-12-04,20.9,59.4,158.7,12.6,1011.2
2024-12-05,14.2,28.4,113.0,20.0,1020.7
2024-12-06,38.3,56.5,27.7,5.7,980.0
2024-12-07,0.0,54.2,124.7,10.0,1024.5
2024-12-08,41.6,96.1,119.7,5.0,988.7
2024-12-09,15.4,94.7,26.7,5.6,1047.0
2024-12-10,41.5,47.1,94.4,3.9,1033.3
2024-12-11,34.2,30.9,186.1,18.7,1035.4
2024-12-12,25.4,58.5,32.6,8.9,1044.4
2024-12-13,16.5,86.2,101.8,1.2,1046.2
2024-12-14,-7.0,99.8,102.9,18.0,1022.3
2024-12-15,14.3,87.9,45.7,14.3,1042.6
2024-12-16,3.6,70.0,4.0,0.8,1011.3
2024-12-17,1.0,41.2,184.5,1.3,1008.3
2024-12-18,38.6,77.1,143.7,4.3,1015.8
2024-12-19,0.6,76.5,98.1,12.1,1036.7
2024-12-20,43.5,22.8,191.5,8.7,1009.1
2024-12-21,8.8,46.2,138.4,1.6,986.4
2024-12-22,13.8,50.4,39.3,11.0,999.5
2024-12-23,22.2,87.1,107.1,3.4,984.2
2024-12-24,-7.7,57.3,48.2,2.6,986.7
2024-12-25,-1.4,95.6,85.2,10.4,1003.0
2024-12-26,-8.4,92.1,181.0,3.9,1041.8
2024-12-27,-4.7,79.9,124.0,10.0,1039.8
2024-12-28,11.5,46.9,78.5,16.9,996.3
2024-12-29,-8.0,13.4,85.3,10.0,1007.7
2024-12-30,9.1,65.8,181.5,2.2,980.1
